month,naics_code,kind_of_business,value
2006-03-01,4482,Shoe stores,2135
2006-03-01,44831,Jewelry stores,2536
2006-03-01,451,"Sporting goods, hobby, musical instrument, and book stores",6610
2006-03-01,452,General merchandise stores,45635
2006-03-01,4521,Department stores,17888
2006-03-01,4529,Other general merchandise stores,27747
2006-03-01,45291,Warehouse clubs and superstores,24203
2006-03-01,45299,All other gen. merchandise stores,3544
2006-03-01,453,Miscellaneous stores retailers,9398
2006-03-01,454,Nonstore retailers,23677
2006-03-01,4541,Electronic shopping and mail order houses,16728
2006-03-01,45431,Fuel dealers,2955
2006-03-01,722,Food services and drinking places,34796
2006-02-01,no code,"Retail and food services sales, total",354706
2006-02-01,no code,Retail sales and food services excl motor vehicle and parts,280598
2006-02-01,no code,Retail sales and food services excl gasoline stations,320532
2006-02-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,246424
2006-02-01,no code,"Retail sales, total",320171
2006-02-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",246063
2006-02-01,no code,GAFO(1),91747
2006-02-01,441,Motor vehicle and parts dealers,74108
2006-02-01,"44,114,412",Automobile and other motor vehicle dealers,68077
2006-02-01,4413,"Automotive parts, acc., and tire stores",6031
2006-02-01,"442,443","Furniture, home furn, electronics, and appliance stores",18540
2006-02-01,442,Furniture and home furnishings stores,9439
2006-02-01,443,Electronics and appliance stores,9101
2006-02-01,444,Building mat. and garden equip. and supplies dealers,29479
2006-02-01,4441,Building mat. and supplies dealers,26699
2006-02-01,445,Food and beverage stores,43379
2006-02-01,4451,Grocery stores,38889
2006-02-01,4453,"Beer, wine and liquor stores",3035
2006-02-01,446,Health and personal care stores,18124
2006-02-01,44611,Pharmacies and drug stores,15405
2006-02-01,447,Gasoline stations,34174
2006-02-01,448,Clothing and clothing access. stores,17384
2006-02-01,4481,Clothing stores,12437
2006-02-01,44811,Men's clothing stores,717
2006-02-01,44812,Women's clothing stores,3144
2006-02-01,4482,Shoe stores,2203
2006-02-01,44831,Jewelry stores,2590
2006-02-01,451,"Sporting goods, hobby, musical instrument, and book stores",6629
2006-02-01,452,General merchandise stores,45774
2006-02-01,4521,Department stores,17981
2006-02-01,4529,Other general merchandise stores,27793
2006-02-01,45291,Warehouse clubs and superstores,24242
2006-02-01,45299,All other gen. merchandise stores,3551
2006-02-01,453,Miscellaneous stores retailers,9512
2006-02-01,454,Nonstore retailers,23068
2006-02-01,4541,Electronic shopping and mail order houses,16182
2006-02-01,45431,Fuel dealers,2949
2006-02-01,722,Food services and drinking places,34535
2006-01-01,no code,"Retail and food services sales, total",357331
2006-01-01,no code,Retail sales and food services excl motor vehicle and parts,280574
2006-01-01,no code,Retail sales and food services excl gasoline stations,323033
2006-01-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,246276
2006-01-01,no code,"Retail sales, total",322348
2006-01-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",245591
2006-01-01,no code,GAFO(1),92097
2006-01-01,441,Motor vehicle and parts dealers,76757
2006-01-01,"44,114,412",Automobile and other motor vehicle dealers,70547
2006-01-01,4413,"Automotive parts, acc., and tire stores",6210
2006-01-01,"442,443","Furniture, home furn, electronics, and appliance stores",18956
2006-01-01,442,Furniture and home furnishings stores,9561
2006-01-01,443,Electronics and appliance stores,9395
2006-01-01,444,Building mat. and garden equip. and supplies dealers,29686
2006-01-01,4441,Building mat. and supplies dealers,26789
2006-01-01,445,Food and beverage stores,42681
2006-01-01,4451,Grocery stores,38254
2006-01-01,4453,"Beer, wine and liquor stores",2938
2006-01-01,446,Health and personal care stores,18000
2006-01-01,44611,Pharmacies and drug stores,15257
2006-01-01,447,Gasoline stations,34298
2006-01-01,448,Clothing and clothing access. stores,17331
2006-01-01,4481,Clothing stores,12505
2006-01-01,44811,Men's clothing stores,716
2006-01-01,44812,Women's clothing stores,3232
2006-01-01,4482,Shoe stores,2225
2006-01-01,44831,Jewelry stores,2441
2006-01-01,451,"Sporting goods, hobby, musical instrument, and book stores",6735
2006-01-01,452,General merchandise stores,45710
2006-01-01,4521,Department stores,18107
2006-01-01,4529,Other general merchandise stores,27603
2006-01-01,45291,Warehouse clubs and superstores,23989
2006-01-01,45299,All other gen. merchandise stores,3614
2006-01-01,453,Miscellaneous stores retailers,9620
2006-01-01,454,Nonstore retailers,22574
2006-01-01,4541,Electronic shopping and mail order houses,16019
2006-01-01,45431,Fuel dealers,2501
2006-01-01,722,Food services and drinking places,34983
2005-12-01,no code,"Retail and food services sales, total",347405
2005-12-01,no code,Retail sales and food services excl motor vehicle and parts,274073
2005-12-01,no code,Retail sales and food services excl gasoline stations,314251
2005-12-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,240919
2005-12-01,no code,"Retail sales, total",313473
2005-12-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",240141
2005-12-01,no code,GAFO(1),89902
2005-12-01,441,Motor vehicle and parts dealers,73332
2005-12-01,"44,114,412",Automobile and other motor vehicle dealers,67308
2005-12-01,4413,"Automotive parts, acc., and tire stores",6024
2005-12-01,"442,443","Furniture, home furn, electronics, and appliance stores",18149
2005-12-01,442,Furniture and home furnishings stores,9260
2005-12-01,443,Electronics and appliance stores,8889
2005-12-01,444,Building mat. and garden equip. and supplies dealers,27324
2005-12-01,4441,Building mat. and supplies dealers,24577
2005-12-01,445,Food and beverage stores,43191
2005-12-01,4451,Grocery stores,38847
2005-12-01,4453,"Beer, wine and liquor stores",2905
2005-12-01,446,Health and personal care stores,18005
2005-12-01,44611,Pharmacies and drug stores,15422
2005-12-01,447,Gasoline stations,33154
2005-12-01,448,Clothing and clothing access. stores,17207
2005-12-01,4481,Clothing stores,12451
2005-12-01,44811,Men's clothing stores,727
2005-12-01,44812,Women's clothing stores,3173
2005-12-01,4482,Shoe stores,2165
2005-12-01,44831,Jewelry stores,2443
2005-12-01,451,"Sporting goods, hobby, musical instrument, and book stores",6462
2005-12-01,452,General merchandise stores,44778
2005-12-01,4521,Department stores,17765
2005-12-01,4529,Other general merchandise stores,27013
2005-12-01,45291,Warehouse clubs and superstores,23477
2005-12-01,45299,All other gen. merchandise stores,3536
2005-12-01,453,Miscellaneous stores retailers,9044
2005-12-01,454,Nonstore retailers,22827
2005-12-01,4541,Electronic shopping and mail order houses,15697
2005-12-01,45431,Fuel dealers,3153
2005-12-01,722,Food services and drinking places,33932
2005-11-01,no code,"Retail and food services sales, total",347325
2005-11-01,no code,Retail sales and food services excl motor vehicle and parts,274114
2005-11-01,no code,Retail sales and food services excl gasoline stations,314140
2005-11-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,240929
2005-11-01,no code,"Retail sales, total",313303
2005-11-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",240092
2005-11-01,no code,GAFO(1),90276
2005-11-01,441,Motor vehicle and parts dealers,73211
2005-11-01,"44,114,412",Automobile and other motor vehicle dealers,67189
2005-11-01,4413,"Automotive parts, acc., and tire stores",6022
2005-11-01,"442,443","Furniture, home furn, electronics, and appliance stores",18284
2005-11-01,442,Furniture and home furnishings stores,9319
2005-11-01,443,Electronics and appliance stores,8965
2005-11-01,444,Building mat. and garden equip. and supplies dealers,27674
2005-11-01,4441,Building mat. and supplies dealers,24807
2005-11-01,445,Food and beverage stores,42823
2005-11-01,4453,"Beer, wine and liquor stores",2875
2005-11-01,446,Health and personal care stores,17859
2005-11-01,44611,Pharmacies and drug stores,15173
2005-11-01,447,Gasoline stations,33185
2005-11-01,448,Clothing and clothing access. stores,17142
2005-11-01,4481,Clothing stores,12438
2005-11-01,44811,Men's clothing stores,737
2005-11-01,44812,Women's clothing stores,3183
2005-11-01,4482,Shoe stores,2197
2005-11-01,44831,Jewelry stores,2369
2005-11-01,451,"Sporting goods, hobby, musical instrument, and book stores",6287
2005-11-01,452,General merchandise stores,45226
2005-11-01,4521,Department stores,18048
2005-11-01,4529,Other general merchandise stores,27178
2005-11-01,45291,Warehouse clubs and superstores,23702
2005-11-01,45299,All other gen. merchandise stores,3476
2005-11-01,453,Miscellaneous stores retailers,9151
2005-11-01,454,Nonstore retailers,22461
2005-11-01,4541,Electronic shopping and mail order houses,15482
2005-11-01,45431,Fuel dealers,3035
2005-11-01,722,Food services and drinking places,34022
2005-10-01,no code,"Retail and food services sales, total",344097
2005-10-01,no code,Retail sales and food services excl motor vehicle and parts,276244
2005-10-01,no code,Retail sales and food services excl gasoline stations,308186
2005-10-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,240333
2005-10-01,no code,"Retail sales, total",310479
2005-10-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",242626
2005-10-01,no code,GAFO(1),90437
2005-10-01,441,Motor vehicle and parts dealers,67853
2005-10-01,"44,114,412",Automobile and other motor vehicle dealers,62054
2005-10-01,4413,"Automotive parts, acc., and tire stores",5799
2005-10-01,"442,443","Furniture, home furn, electronics, and appliance stores",18362
2005-10-01,442,Furniture and home furnishings stores,9315
2005-10-01,443,Electronics and appliance stores,9047
2005-10-01,444,Building mat. and garden equip. and supplies dealers,27664
2005-10-01,4441,Building mat. and supplies dealers,24822
2005-10-01,445,Food and beverage stores,42842
2005-10-01,4451,Grocery stores,38559
2005-10-01,4453,"Beer, wine and liquor stores",2855
2005-10-01,446,Health and personal care stores,17742
2005-10-01,44611,Pharmacies and drug stores,15072
2005-10-01,447,Gasoline stations,35911
2005-10-01,448,Clothing and clothing access. stores,17120
2005-10-01,4481,Clothing stores,12426
2005-10-01,44811,Men's clothing stores,712
2005-10-01,44812,Women's clothing stores,3155
2005-10-01,4482,Shoe stores,2204
2005-10-01,44831,Jewelry stores,2350
2005-10-01,451,"Sporting goods, hobby, musical instrument, and book stores",6377
2005-10-01,452,General merchandise stores,45267
2005-10-01,4521,Department stores,18070
2005-10-01,4529,Other general merchandise stores,27197
2005-10-01,45291,Warehouse clubs and superstores,23672
2005-10-01,45299,All other gen. merchandise stores,3525
2005-10-01,453,Miscellaneous stores retailers,9086
2005-10-01,454,Nonstore retailers,22255
2005-10-01,4541,Electronic shopping and mail order houses,15282
2005-10-01,45431,Fuel dealers,3021
2005-10-01,722,Food services and drinking places,33618
2005-09-01,no code,"Retail and food services sales, total",343956
2005-09-01,no code,Retail sales and food services excl motor vehicle and parts,273329
2005-09-01,no code,Retail sales and food services excl gasoline stations,307840
2005-09-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,237213
2005-09-01,no code,"Retail sales, total",310673
2005-09-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",240046
2005-09-01,no code,GAFO(1),88616
2005-09-01,441,Motor vehicle and parts dealers,70627
2005-09-01,"44,114,412",Automobile and other motor vehicle dealers,64858
2005-09-01,4413,"Automotive parts, acc., and tire stores",5769
2005-09-01,"442,443","Furniture, home furn, electronics, and appliance stores",18199
2005-09-01,442,Furniture and home furnishings stores,9244
2005-09-01,443,Electronics and appliance stores,8955
2005-09-01,444,Building mat. and garden equip. and supplies dealers,27111
2005-09-01,4441,Building mat. and supplies dealers,24317
2005-09-01,445,Food and beverage stores,42845
2005-09-01,4451,Grocery stores,38577
2005-09-01,4453,"Beer, wine and liquor stores",2826
2005-09-01,446,Health and personal care stores,17707
2005-09-01,44611,Pharmacies and drug stores,15098
2005-09-01,447,Gasoline stations,36116
2005-09-01,448,Clothing and clothing access. stores,16450
2005-09-01,4481,Clothing stores,11885
2005-09-01,44811,Men's clothing stores,695
2005-09-01,44812,Women's clothing stores,3086
2005-09-01,4482,Shoe stores,2122
2005-09-01,44831,Jewelry stores,2301
2005-09-01,451,"Sporting goods, hobby, musical instrument, and book stores",6155
2005-09-01,452,General merchandise stores,44502
2005-09-01,4521,Department stores,17557
2005-09-01,4529,Other general merchandise stores,26945
2005-09-01,45291,Warehouse clubs and superstores,23447
2005-09-01,45299,All other gen. merchandise stores,3498
2005-09-01,453,Miscellaneous stores retailers,9010
2005-09-01,454,Nonstore retailers,21951
2005-09-01,4541,Electronic shopping and mail order houses,15056
2005-09-01,45431,Fuel dealers,3156
2005-09-01,722,Food services and drinking places,33283
2005-08-01,no code,"Retail and food services sales, total",343307
2005-08-01,no code,Retail sales and food services excl motor vehicle and parts,269520
2005-08-01,no code,Retail sales and food services excl gasoline stations,309908
2005-08-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,236121
2005-08-01,no code,"Retail sales, total",310046
2005-08-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",236259
2005-08-01,no code,GAFO(1),88649
2005-08-01,441,Motor vehicle and parts dealers,73787
2005-08-01,"44,114,412",Automobile and other motor vehicle dealers,67954
2005-08-01,4413,"Automotive parts, acc., and tire stores",5833
2005-08-01,"442,443","Furniture, home furn, electronics, and appliance stores",18061
2005-08-01,442,Furniture and home furnishings stores,9193
2005-08-01,443,Electronics and appliance stores,8868
2005-08-01,444,Building mat. and garden equip. and supplies dealers,26814
2005-08-01,4441,Building mat. and supplies dealers,23889
2005-08-01,445,Food and beverage stores,42542
2005-08-01,4451,Grocery stores,38320
2005-08-01,4453,"Beer, wine and liquor stores",2794
2005-08-01,446,Health and personal care stores,17548
2005-08-01,44611,Pharmacies and drug stores,14983
2005-08-01,447,Gasoline stations,33399
2005-08-01,448,Clothing and clothing access. stores,16759
2005-08-01,4481,Clothing stores,12173
2005-08-01,44811,Men's clothing stores,750
2005-08-01,44812,Women's clothing stores,3094
2005-08-01,4482,Shoe stores,2079
2005-08-01,44831,Jewelry stores,2366
2005-08-01,451,"Sporting goods, hobby, musical instrument, and book stores",6274
2005-08-01,452,General merchandise stores,44214
2005-08-01,4521,Department stores,17822
2005-08-01,4529,Other general merchandise stores,26392
2005-08-01,45291,Warehouse clubs and superstores,22947
2005-08-01,45299,All other gen. merchandise stores,3445
2005-08-01,453,Miscellaneous stores retailers,8881
2005-08-01,454,Nonstore retailers,21767
2005-08-01,4541,Electronic shopping and mail order houses,15091
2005-08-01,45431,Fuel dealers,3010
2005-08-01,722,Food services and drinking places,33261
2005-07-01,no code,"Retail and food services sales, total",346576
2005-07-01,no code,Retail sales and food services excl motor vehicle and parts,264971
2005-07-01,no code,Retail sales and food services excl gasoline stations,315600
2005-07-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,233995
2005-07-01,no code,"Retail sales, total",313520
2005-07-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",231915
2005-07-01,no code,GAFO(1),88014
2005-07-01,441,Motor vehicle and parts dealers,81605
2005-07-01,"44,114,412",Automobile and other motor vehicle dealers,75821
2005-07-01,4413,"Automotive parts, acc., and tire stores",5784
2005-07-01,"442,443","Furniture, home furn, electronics, and appliance stores",17961
2005-07-01,442,Furniture and home furnishings stores,9084
2005-07-01,443,Electronics and appliance stores,8877
2005-07-01,444,Building mat. and garden equip. and supplies dealers,26538
2005-07-01,4441,Building mat. and supplies dealers,23705
2005-07-01,445,Food and beverage stores,42184
2005-07-01,4451,Grocery stores,37960
2005-07-01,4453,"Beer, wine and liquor stores",2772
2005-07-01,446,Health and personal care stores,17635
2005-07-01,44611,Pharmacies and drug stores,15074
2005-07-01,447,Gasoline stations,30976
2005-07-01,448,Clothing and clothing access. stores,16450
2005-07-01,4481,Clothing stores,11938
2005-07-01,44811,Men's clothing stores,733
2005-07-01,44812,Women's clothing stores,3039
2005-07-01,4482,Shoe stores,2095
2005-07-01,44831,Jewelry stores,2277
2005-07-01,451,"Sporting goods, hobby, musical instrument, and book stores",6239
2005-07-01,452,General merchandise stores,44017
2005-07-01,4521,Department stores,17858
2005-07-01,4529,Other general merchandise stores,26159
2005-07-01,45291,Warehouse clubs and superstores,22752
2005-07-01,45299,All other gen. merchandise stores,3407
2005-07-01,453,Miscellaneous stores retailers,8927
2005-07-01,454,Nonstore retailers,20988
2005-07-01,4541,Electronic shopping and mail order houses,14727
2005-07-01,45431,Fuel dealers,2815
2005-07-01,722,Food services and drinking places,33056
2005-06-01,no code,"Retail and food services sales, total",343998
2005-06-01,no code,Retail sales and food services excl motor vehicle and parts,264359
2005-06-01,no code,Retail sales and food services excl gasoline stations,314109
2005-06-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,234470
2005-06-01,no code,"Retail sales, total",310989
2005-06-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",231350
2005-06-01,no code,GAFO(1),88593
2005-06-01,441,Motor vehicle and parts dealers,79639
2005-06-01,"44,114,412",Automobile and other motor vehicle dealers,73811
2005-06-01,4413,"Automotive parts, acc., and tire stores",5828
2005-06-01,"442,443","Furniture, home furn, electronics, and appliance stores",17921
2005-06-01,442,Furniture and home furnishings stores,9093
2005-06-01,443,Electronics and appliance stores,8828
2005-06-01,444,Building mat. and garden equip. and supplies dealers,26569
2005-06-01,4441,Building mat. and supplies dealers,23710
2005-06-01,445,Food and beverage stores,42363
2005-06-01,4451,Grocery stores,38143
2005-06-01,4453,"Beer, wine and liquor stores",2780
2005-06-01,446,Health and personal care stores,17392
2005-06-01,44611,Pharmacies and drug stores,14890
2005-06-01,447,Gasoline stations,29889
2005-06-01,448,Clothing and clothing access. stores,16824
2005-06-01,4481,Clothing stores,12215
2005-06-01,44811,Men's clothing stores,741
2005-06-01,44812,Women's clothing stores,3133
2005-06-01,4482,Shoe stores,2103
2005-06-01,44831,Jewelry stores,2363
2005-06-01,451,"Sporting goods, hobby, musical instrument, and book stores",6135
2005-06-01,452,General merchandise stores,44354
2005-06-01,4521,Department stores,18263
2005-06-01,4529,Other general merchandise stores,26091
2005-06-01,45291,Warehouse clubs and superstores,22639
2005-06-01,45299,All other gen. merchandise stores,3452
2005-06-01,453,Miscellaneous stores retailers,8879
2005-06-01,454,Nonstore retailers,21024
2005-06-01,4541,Electronic shopping and mail order houses,14520
2005-06-01,45431,Fuel dealers,2795
1995-10-01,445,Food and beverage stores,32578
2005-06-01,722,Food services and drinking places,33009
2005-05-01,no code,"Retail and food services sales, total",334522
2005-05-01,no code,Retail sales and food services excl motor vehicle and parts,261297
2005-05-01,no code,Retail sales and food services excl gasoline stations,305382
2005-05-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,232157
2005-05-01,no code,"Retail sales, total",301776
2005-05-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",228551
2005-05-01,no code,GAFO(1),87279
2005-05-01,441,Motor vehicle and parts dealers,73225
2005-05-01,"44,114,412",Automobile and other motor vehicle dealers,67471
2005-05-01,4413,"Automotive parts, acc., and tire stores",5754
2005-05-01,"442,443","Furniture, home furn, electronics, and appliance stores",17738
2005-05-01,442,Furniture and home furnishings stores,8963
2005-05-01,443,Electronics and appliance stores,8775
2005-05-01,444,Building mat. and garden equip. and supplies dealers,26510
2005-05-01,4441,Building mat. and supplies dealers,23599
2005-05-01,445,Food and beverage stores,42081
2005-05-01,4451,Grocery stores,37908
2005-05-01,4453,"Beer, wine and liquor stores",2731
2005-05-01,446,Health and personal care stores,17413
2005-05-01,44611,Pharmacies and drug stores,14882
2005-05-01,447,Gasoline stations,29140
2005-05-01,448,Clothing and clothing access. stores,16514
2005-05-01,4481,Clothing stores,11974
2005-05-01,44811,Men's clothing stores,723
2005-05-01,44812,Women's clothing stores,3045
2005-05-01,4482,Shoe stores,2083
2005-05-01,44831,Jewelry stores,2312
2005-05-01,451,"Sporting goods, hobby, musical instrument, and book stores",6232
2005-05-01,452,General merchandise stores,43423
2005-05-01,4521,Department stores,17808
2005-05-01,4529,Other general merchandise stores,25615
2005-05-01,45291,Warehouse clubs and superstores,22214
2005-05-01,45299,All other gen. merchandise stores,3401
2005-05-01,453,Miscellaneous stores retailers,8932
2005-05-01,454,Nonstore retailers,20568
2005-05-01,4541,Electronic shopping and mail order houses,14297
2005-05-01,45431,Fuel dealers,2678
2005-05-01,722,Food services and drinking places,32746
2005-04-01,no code,"Retail and food services sales, total",336583
2005-04-01,no code,Retail sales and food services excl motor vehicle and parts,262934
2005-04-01,no code,Retail sales and food services excl gasoline stations,306574
2005-04-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,232925
2005-04-01,no code,"Retail sales, total",303760
2005-04-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",230111
2005-04-01,no code,GAFO(1),87687
2005-04-01,441,Motor vehicle and parts dealers,73649
2005-04-01,"44,114,412",Automobile and other motor vehicle dealers,67796
2005-04-01,4413,"Automotive parts, acc., and tire stores",5853
2005-04-01,"442,443","Furniture, home furn, electronics, and appliance stores",17814
2005-04-01,442,Furniture and home furnishings stores,8994
2005-04-01,443,Electronics and appliance stores,8820
2005-04-01,444,Building mat. and garden equip. and supplies dealers,26520
2005-04-01,4441,Building mat. and supplies dealers,23679
2005-04-01,445,Food and beverage stores,42283
2005-04-01,4451,Grocery stores,38049
2005-04-01,4453,"Beer, wine and liquor stores",2762
2005-04-01,446,Health and personal care stores,17350
2005-04-01,44611,Pharmacies and drug stores,14805
2005-04-01,447,Gasoline stations,30009
2005-04-01,448,Clothing and clothing access. stores,16636
2005-04-01,4481,Clothing stores,12060
2005-04-01,44811,Men's clothing stores,716
2005-04-01,44812,Women's clothing stores,3061
2005-04-01,4482,Shoe stores,2055
2005-04-01,44831,Jewelry stores,2384
2005-04-01,451,"Sporting goods, hobby, musical instrument, and book stores",6318
2005-04-01,452,General merchandise stores,43601
2005-04-01,4521,Department stores,18153
2005-04-01,4529,Other general merchandise stores,25448
2005-04-01,45291,Warehouse clubs and superstores,22051
2005-04-01,45299,All other gen. merchandise stores,3397
2005-04-01,453,Miscellaneous stores retailers,8839
2005-04-01,454,Nonstore retailers,20741
2005-04-01,4541,Electronic shopping and mail order houses,14070
2005-04-01,45431,Fuel dealers,2722
2005-04-01,722,Food services and drinking places,32823
2005-03-01,no code,"Retail and food services sales, total",333581
2005-03-01,no code,Retail sales and food services excl motor vehicle and parts,259434
2005-03-01,no code,Retail sales and food services excl gasoline stations,304083
2005-03-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,229936
2005-03-01,no code,"Retail sales, total",301308
2005-03-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",227161
2005-03-01,no code,GAFO(1),86279
2005-03-01,441,Motor vehicle and parts dealers,74147
2005-03-01,"44,114,412",Automobile and other motor vehicle dealers,68419
2005-03-01,4413,"Automotive parts, acc., and tire stores",5728
2005-03-01,"442,443","Furniture, home furn, electronics, and appliance stores",17624
2005-03-01,442,Furniture and home furnishings stores,8840
2005-03-01,443,Electronics and appliance stores,8784
2005-03-01,444,Building mat. and garden equip. and supplies dealers,26219
2005-03-01,4441,Building mat. and supplies dealers,23435
2005-03-01,445,Food and beverage stores,41800
2005-03-01,4451,Grocery stores,37645
2005-03-01,4453,"Beer, wine and liquor stores",2729
2005-03-01,446,Health and personal care stores,17245
2005-03-01,44611,Pharmacies and drug stores,14708
2005-03-01,447,Gasoline stations,29498
2005-03-01,448,Clothing and clothing access. stores,16293
2005-03-01,4481,Clothing stores,11846
2005-03-01,44811,Men's clothing stores,744
2005-03-01,44812,Women's clothing stores,3000
2005-03-01,4482,Shoe stores,2001
2005-03-01,44831,Jewelry stores,2307
2005-03-01,451,"Sporting goods, hobby, musical instrument, and book stores",6137
2005-03-01,452,General merchandise stores,42949
2005-03-01,4521,Department stores,17818
2005-03-01,4529,Other general merchandise stores,25131
2005-03-01,45291,Warehouse clubs and superstores,21796
2005-03-01,45299,All other gen. merchandise stores,3335
2005-03-01,453,Miscellaneous stores retailers,8890
2005-03-01,454,Nonstore retailers,20506
2005-03-01,4541,Electronic shopping and mail order houses,13986
2005-03-01,45431,Fuel dealers,2781
2005-03-01,722,Food services and drinking places,32273
2005-02-01,no code,"Retail and food services sales, total",333026
2005-02-01,no code,Retail sales and food services excl motor vehicle and parts,259253
2005-02-01,no code,Retail sales and food services excl gasoline stations,304011
2005-02-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,230238
2005-02-01,no code,"Retail sales, total",300557
2005-02-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",226784
2005-02-01,no code,GAFO(1),87076
2005-02-01,441,Motor vehicle and parts dealers,73773
2005-02-01,"44,114,412",Automobile and other motor vehicle dealers,67949
2005-02-01,4413,"Automotive parts, acc., and tire stores",5824
2005-02-01,"442,443","Furniture, home furn, electronics, and appliance stores",17673
2005-02-01,442,Furniture and home furnishings stores,8908
2005-02-01,443,Electronics and appliance stores,8765
2005-02-01,444,Building mat. and garden equip. and supplies dealers,25797
2005-02-01,4441,Building mat. and supplies dealers,22933
2005-02-01,445,Food and beverage stores,41757
2005-02-01,4451,Grocery stores,37553
2005-02-01,4453,"Beer, wine and liquor stores",2787
2005-02-01,446,Health and personal care stores,17292
2005-02-01,44611,Pharmacies and drug stores,14698
2005-02-01,447,Gasoline stations,29015
2005-02-01,448,Clothing and clothing access. stores,16674
2005-02-01,4481,Clothing stores,12021
2005-02-01,44811,Men's clothing stores,744
2005-02-01,44812,Women's clothing stores,3043
2005-02-01,4482,Shoe stores,2122
2005-02-01,44831,Jewelry stores,2383
2005-02-01,451,"Sporting goods, hobby, musical instrument, and book stores",6269
2005-02-01,452,General merchandise stores,43183
2005-02-01,4521,Department stores,18173
2005-02-01,4529,Other general merchandise stores,25010
2005-02-01,45291,Warehouse clubs and superstores,21598
2005-02-01,45299,All other gen. merchandise stores,3412
2005-02-01,453,Miscellaneous stores retailers,8949
2005-02-01,454,Nonstore retailers,20175
2005-02-01,4541,Electronic shopping and mail order houses,13686
2005-02-01,45431,Fuel dealers,2670
2005-02-01,722,Food services and drinking places,32469
2005-01-01,no code,"Retail and food services sales, total",328696
2005-01-01,no code,Retail sales and food services excl motor vehicle and parts,256613
2005-01-01,no code,Retail sales and food services excl gasoline stations,300321
2005-01-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,228238
2005-01-01,no code,"Retail sales, total",296696
2005-01-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",224613
2005-01-01,no code,GAFO(1),85514
2005-01-01,441,Motor vehicle and parts dealers,72083
2005-01-01,"44,114,412",Automobile and other motor vehicle dealers,66148
2005-01-01,4413,"Automotive parts, acc., and tire stores",5935
2005-01-01,"442,443","Furniture, home furn, electronics, and appliance stores",17411
2005-01-01,442,Furniture and home furnishings stores,8856
2005-01-01,443,Electronics and appliance stores,8555
2005-01-01,444,Building mat. and garden equip. and supplies dealers,26126
2005-01-01,4441,Building mat. and supplies dealers,23326
2005-01-01,445,Food and beverage stores,41691
2005-01-01,4451,Grocery stores,37628
2005-01-01,4453,"Beer, wine and liquor stores",2648
2005-01-01,446,Health and personal care stores,17116
2005-01-01,44611,Pharmacies and drug stores,14576
2005-01-01,447,Gasoline stations,28375
2005-01-01,448,Clothing and clothing access. stores,16125
2005-01-01,4481,Clothing stores,11700
2005-01-01,44811,Men's clothing stores,717
2005-01-01,44812,Women's clothing stores,2990
2005-01-01,4482,Shoe stores,1986
2005-01-01,44831,Jewelry stores,2303
2005-01-01,451,"Sporting goods, hobby, musical instrument, and book stores",6192
2005-01-01,452,General merchandise stores,42556
2005-01-01,4521,Department stores,18034
2005-01-01,4529,Other general merchandise stores,24522
2005-01-01,45291,Warehouse clubs and superstores,21246
2005-01-01,45299,All other gen. merchandise stores,3276
2005-01-01,453,Miscellaneous stores retailers,8784
2005-01-01,454,Nonstore retailers,20237
2005-01-01,4541,Electronic shopping and mail order houses,13688
2005-01-01,45431,Fuel dealers,2678
2005-01-01,722,Food services and drinking places,32000
2004-12-01,no code,"Retail and food services sales, total",331874
2004-12-01,no code,Retail sales and food services excl motor vehicle and parts,256487
2004-12-01,no code,Retail sales and food services excl gasoline stations,302828
2004-12-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,227441
2004-12-01,no code,"Retail sales, total",299763
2004-12-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",224376
